id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2771LMNxwf62FTAdpJMQfM,Bodak Yellow,['Cardi B'],52,2017-06-16,0.929,0.723,11,-5.792,0,0.0672,0.0,0.346,0.458,125.022,223962,4
3swc6WTsr7rl9DqQKQA55C,Psycho (feat. Ty Dolla $ign),"['Post Malone', 'Ty Dolla $ign']",75,2018-04-27,0.75,0.56,8,-8.094,1,0.546,0.0,0.111,0.459,140.06,221440,4
1D4PL9B8gOg78jiHg3FvBb,Love Story,['Taylor Swift'],74,2008-11-11,0.617,0.741,2,-3.97,1,0.131,0.0,0.0772,0.306,118.984,236267,4
0OIuVh5fi9t3FGAvQh66PW,Airplanes,"['B.o.B', 'Hayley Williams']",0,2019-05-10,0.66,0.846,6,-5.252,0,0.113,0.0,0.0459,0.417,93.026,179800,4
0jrz4ZQKCsC6h2vzqgHiEp,Get Low,"['Lil Jon & The East Side Boyz', 'Ying Yang Twins']",58,2011-03-15,0.771,0.621,1,-7.453,1,0.0297,0.0,0.124,0.154,101.007,334067,4
0iGckQFyv6svOfAbAY9aWJ,Hot N Cold,['Katy Perry'],75,2008-06-17,0.706,0.842,7,-3.956,1,7.73e-05,0.0,0.0688,0.861,132.032,220227,4
1XGmzt0PVuFgQYYnV2It7A,Payphone,"['Maroon 5', 'Wiz Khalifa']",83,2012-01-01,0.743,0.752,4,-4.813,1,0.0188,0.0,0.287,0.545,110.015,231173,4
3NLrRZoMF0Lx6zTlYqeIo4,Here Without You,['3 Doors Down'],76,2002-11-12,0.557,0.533,10,-6.817,0,0.0492,0.0,0.205,0.233,143.994,238733,4
7xkQdy0cy5ymoWT7nedvLz,Whatcha Say,['Jason Derulo'],71,2010-02-26,0.615,0.711,11,-5.507,1,0.0444,0.0,0.145,0.711,144.036,221253,4
1sa91wgPCARforsIuoZL05,Sugar,['Maroon 5'],0,2020-07-03,0.716,0.797,1,-5.075,1,0.174,0.0,0.082,0.846,120.053,236893,4
14iN3o8ptQ8cFVZTEmyQRV,I Kissed A Girl,['Katy Perry'],73,2008-06-17,0.702,0.76,5,-3.174,1,0.00226,0.0,0.132,0.696,129.996,179640,4
3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",['Ariana Grande'],78,2019-02-08,0.72,0.654,1,-5.634,1,0.227,0.0,0.101,0.411,106.976,207320,4
6RtPijgfPKROxEzTHNRiDp,Rude,['MAGIC!'],83,2014-06-25,0.773,0.758,1,-4.993,1,0.0422,0.0,0.305,0.925,144.033,224840,4
6F5c58TMEs1byxUstkzVeM,Roar,['Katy Perry'],70,2013-10-18,0.671,0.771,7,-4.821,0,0.00492,7.28e-06,0.354,0.436,90.003,223546,4
0k2GOhqsrxDTAbFFSdNJjT,Temperature,['Sean Paul'],80,2005-09-27,0.951,0.6,0,-4.675,0,0.106,0.0,0.0712,0.822,125.04,218573,4
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,['Jason Mraz'],76,2008-05-12,0.703,0.444,11,-9.331,1,0.559,0.0,0.0973,0.712,150.96,242947,4
0O45fw2L5vsWpdsOdXwNAR,SexyBack (feat. Timbaland),"['Justin Timberlake', 'Timbaland']",80,2006-09-12,0.967,0.583,7,-5.562,0,0.0584,0.0,0.0519,0.964,117.0,242733,4
7dt6x5M1jzdTEt8oCbisTK,Better Now,['Post Malone'],79,2018-04-27,0.674,0.578,10,-5.804,1,0.331,0.0,0.135,0.34,145.07,231267,4
0kv8hQMkkfBlJxHTBIUvhP,Bad Romance,['Lady Gaga'],44,2009-01-01,0.695,0.919,0,-3.769,1,0.00265,4.12e-05,0.0611,0.717,119.001,294640,4
5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,['The Fray'],81,2005-09-13,0.64,0.743,10,-4.08,1,0.269,0.0,0.101,0.361,122.035,262533,4
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),"['Macklemore & Ryan Lewis', 'Macklemore', 'Ryan Lewis', 'Ray Dalton']",79,2012-10-09,0.641,0.922,2,-4.457,1,0.0291,0.0,0.0862,0.847,146.078,258343,4
49FYlytm3dAAraYgpoJZux,Umbrella,"['Rihanna', 'JAY-Z']",82,2008-06-02,0.585,0.828,1,-4.603,1,0.00906,0.0,0.0426,0.584,174.034,275987,4
5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me,['Sam Smith'],82,2014-05-26,0.413,0.42,0,-6.444,1,0.588,6.39e-05,0.11,0.185,84.126,172724,4
6ocbgoVGwYJhOv1GgI9NsF,7 rings,['Ariana Grande'],82,2019-02-08,0.777,0.317,1,-10.732,0,0.591,0.0,0.0881,0.33,139.848,178627,4
0mUyMawtxj1CJ76kn9gIZK,Bad Day,['Daniel Powter'],73,2005-02-22,0.599,0.785,3,-4.013,1,0.448,0.00336,0.151,0.52,140.046,233640,4
67WTwafOMgegV6ABnBQxcE,Some Nights,['fun.'],67,2012-02-14,0.672,0.738,0,-7.045,1,0.0178,6.75e-05,0.0927,0.392,107.938,277040,4
27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,['Sia'],75,2016-01-29,0.628,0.698,6,-5.608,0,0.0472,0.00143,0.0907,0.732,89.976,211667,4
1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,['Taylor Swift'],81,2014-01-01,0.76,0.703,5,-5.412,1,0.103,0.0,0.0913,0.57,95.997,231827,4
5D2mYZuzcgjpchVY1pmTPh,Candy Shop,"['50 Cent', 'Olivia']",79,2005-03-03,0.613,0.574,11,-7.961,1,0.0253,3.13e-05,0.38,0.755,125.18,209107,5
3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,['Alicia Keys'],82,2003-12-02,0.609,0.444,7,-9.129,1,0.603,6.86e-06,0.104,0.166,118.402,228707,3
7xQAfvXzm3AkraOtGPWIZg,Wow.,['Post Malone'],79,2019-09-06,0.829,0.538,11,-7.359,0,0.137,1.88e-06,0.103,0.389,99.952,149547,4
1GEBsLDvJGw7kviySRI6GX,You Belong With Me,['Taylor Swift'],70,2008-11-11,0.687,0.745,6,-4.432,1,0.178,1.59e-05,0.111,0.435,129.966,232120,4
5qTvkDrSfvwDv6RBjjcfQr,Get Busy,['Sean Paul'],3,2002-11-12,0.735,0.824,10,-4.143,0,0.615,0.0,0.158,0.726,100.202,211666,4
22VdIZQfgXJea34mQxlt81,Can't Feel My Face,['The Weeknd'],81,2015-08-28,0.705,0.769,9,-5.526,0,0.113,0.0,0.105,0.583,107.949,213520,4
3W3KtDwAIg3mAruSpnfG3Q,Fancy,"['Iggy Azalea', 'Charli xcx']",66,2014-01-01,0.912,0.716,10,-4.141,0,0.0904,0.0,0.0491,0.377,94.981,199938,4
3Fcfwhm8oRrBvBZ8KGhtea,Viva La Vida,['Coldplay'],73,2008-06-19,0.486,0.617,5,-7.115,0,0.0954,3.23e-06,0.109,0.417,138.015,242373,4
6JY1IdkZGeIcPegKxjSKeb,Since U Been Gone,['Kelly Clarkson'],75,2004,0.662,0.739,9,-5.354,0,0.00206,0.0603,0.113,0.382,130.999,188960,4
2Ozc0me9PV5vlt8cokwdvI,Lean Back,"['Terror Squad', 'Fat Joe', 'Remy Ma']",64,2004-07-15,0.783,0.916,1,-3.344,1,0.11,0.0,0.0746,0.695,95.321,247427,4
21jGcNKet2qwijlDFuPiPb,Circles,['Post Malone'],85,2019-09-06,0.695,0.763,0,-3.497,1,0.189,0.00242,0.0863,0.551,120.042,215280,4
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),"['Camila Cabello', 'Young Thug']",80,2018-01-12,0.765,0.523,2,-4.333,1,0.184,3.56e-05,0.132,0.394,104.988,217307,4
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,['Lewis Capaldi'],87,2019-05-17,0.501,0.405,1,-5.679,1,0.751,0.0,0.105,0.446,109.891,182161,4
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,"['The Chainsmokers', 'Daya']",81,2016-02-05,0.533,0.869,11,-5.093,1,0.156,0.00538,0.136,0.425,159.805,208373,4
4h8VwCb1MTGoLKueQ1WgbD,Wake Me Up,['Avicii'],2,2013-09-13,0.532,0.783,2,-5.697,1,0.0038,0.0012,0.161,0.643,124.08,247427,4
2igwFfvr1OAGX9SKDCPBwO,Empire State Of Mind,"['JAY-Z', 'Alicia Keys']",81,2009-09-08,0.491,0.956,11,-1.538,1,0.0295,0.0,0.46,0.811,173.585,276920,4
58q2HKrzhC3ozto2nDdN4z,I Like It,"['Cardi B', 'Bad Bunny', 'J Balvin']",77,2018-04-06,0.816,0.726,5,-3.998,0,0.099,0.0,0.372,0.65,136.048,253390,4
4lLtanYk6tkMvooU0tWzG8,Grenade,['Bruno Mars'],78,2010-05-11,0.704,0.558,2,-7.273,0,0.148,0.0,0.107,0.245,110.444,222091,4
2gam98EZKrF9XuOkU13ApN,Promiscuous,"['Nelly Furtado', 'Timbaland']",83,2006-01-01,0.808,0.97,10,-6.098,0,0.0573,6.17e-05,0.154,0.868,114.328,242293,4
